id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval
1000,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,6,FALSE,1,178,178,3605,17,291,67,13,0.0054,20,14,15,0.0231,2856,1,1,1,0.001
1001,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,7,FALSE,1,177,177,3605,17,248,55,10,0.0052,13,10,11,0.0177,2856,2,2,2,0.0116
1002,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,8,FALSE,1,181,181,3605,16,251,71,13,0.0059,15,11,14,0.0183,2856,2,2,2,0.0105
1003,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,9,FALSE,1,183,183,3605,16,264,86,13,0.0058,14,10,13,0.0079,2856,1,1,1,0.0016
1004,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,10,FALSE,1,190,190,3605,16,296,66,13,0.0053,15,9,14,0.0166,2856,2,2,2,0.0218
1005,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,11,FALSE,1,185,185,3605,15,298,71,12,0.0048,16,12,14,0.0141,2856,3,3,3,0.0196
1006,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,12,FALSE,1,172,172,3605,16,276,80,10,0.0037,14,10,13,0.0139,2856,2,2,2,0.0162
1007,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,13,FALSE,1,164,164,3605,17,240,100,13,0.0065,15,12,14,0.0162,2856,2,2,2,0.0162
1008,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,14,FALSE,1,186,186,3605,16,274,93,15,0.0055,11,7,10,0.0094,2856,3,3,3,0.0254
1009,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,1,FALSE,1,182,182,3605,16,190,59,6,0.0033,9,6,8,0.0107,2856,0,0,0,NaN
100,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,2,FALSE,1,173,173,3605,18,269,59,9,0.002,7,2,7,0.0033,2856,1,1,1,5e-04
1010,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,2,FALSE,1,187,187,3605,16,324,50,10,0.005,16,9,12,0.0186,2856,0,0,0,NaN
1011,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,3,FALSE,1,186,186,3605,16,299,52,10,0.0045,11,6,11,0.0173,2856,3,3,1,0.0432
1012,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,4,FALSE,1,187,187,3605,16,306,47,10,0.0049,12,6,12,0.0194,2856,0,0,0,NaN
1013,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,5,FALSE,1,178,178,3605,16,313,49,10,0.0061,21,16,12,0.0153,2856,3,3,2,0.0021
1014,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,6,FALSE,1,175,175,3605,15,328,63,12,0.0056,22,16,11,0.0147,2856,2,2,1,0.0031
