id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval
1000,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,6,FALSE,1,159,159,3183,16,115,47,7,0.01,5,4,5,0.019,2798,0,0,0,NaN
1001,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,7,FALSE,1,147,147,3183,17,121,50,5,0.0051,5,4,5,0.0168,2798,0,0,0,NaN
1002,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,8,FALSE,1,143,143,3183,17,143,51,9,0.0137,6,6,6,0.0303,2798,0,0,0,NaN
1003,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,9,FALSE,1,140,140,3183,17,110,51,6,0.0152,3,2,3,0.0026,2798,0,0,0,NaN
1004,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,10,FALSE,1,144,144,3183,16,156,61,7,0.0106,10,8,8,0.0226,2798,5,5,1,0.04
1005,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,11,FALSE,1,149,149,3183,16,169,84,11,0.0125,7,6,7,0.0154,2798,0,0,0,NaN
1006,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,12,FALSE,1,150,150,3183,17,126,52,9,0.0133,8,7,6,0.0304,2798,3,3,2,0.0301
1007,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,13,FALSE,1,151,151,3183,16,115,50,9,0.0149,9,8,7,0.034,2798,2,2,2,0.034
1008,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,14,FALSE,1,152,152,3183,16,114,53,6,0.0097,3,3,3,0.0311,2798,6,6,2,0.039
1009,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,1,FALSE,1,160,160,3183,16,128,50,5,0.0024,6,4,6,0.0164,2798,0,0,0,NaN
100,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,2,FALSE,1,153,153,3183,16,116,89,5,0.0159,0,0,0,NaN,2798,4,4,2,0.0046
1010,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,2,FALSE,1,163,163,3183,15,147,49,5,0.0051,7,5,7,0.0192,2798,1,1,1,0.0148
