id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval
1000,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,6,FALSE,1,787,787,16206,17,1250,815,84,0.0112,74,49,38,0.0172,42248,30244991.69,1549.92,365,221,55,0.0109
1001,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,7,FALSE,1,782,782,16206,16,1387,879,82,0.0125,93,59,42,0.0173,42248,24425777.46,1240.67,428,256,52,0.0098
1002,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,8,FALSE,1,780,780,16206,16,1505,974,83,0.0128,87,62,42,0.0153,42248,19884466.09,1001.31,481,295,61,0.0128
1003,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,9,FALSE,1,782,782,16206,16,1285,844,80,0.0112,89,60,46,0.0146,42248,16304535.48,814.00,443,288,53,0.0116
1004,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,10,FALSE,1,802,802,16206,16,1392,937,69,0.013,110,74,40,0.0146,42248,13459012.27,666.13,485,312,55,0.0114
1005,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,11,FALSE,1,806,806,16206,16,1170,777,75,0.0139,97,67,45,0.013,42248,11180435.97,548.46,470,269,62,0.0139
1006,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,12,FALSE,1,786,786,16206,16,1171,717,68,0.0128,94,57,39,0.0144,42248,9343256.27,454.17,436,255,56,0.0115
1007,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,13,FALSE,1,788,788,16206,16,1236,799,76,0.0118,77,53,36,0.0186,42248,7852318.96,378.11,345,220,45,0.0099
1008,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,14,FALSE,1,788,788,16206,16.5,1129,696,86,0.0121,111,82,41,0.0149,42248,6634884.93,316.38,363,206,48,0.0095
1009,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,1,FALSE,1,797,797,16203,16,976,710,66,0.013,92,64,45,0.0131,42248,137087577.70,7290.56,369,218,48,0.0089
100,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,2,FALSE,1,768,768,16206,16,1602,1096,79,0.0126,114,65,38,0.014,42248,128495655.96,7197.63,417,257,50,0.0099
1010,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,2,FALSE,1,808,808,16203,16,864,637,55,0.0115,73,57,40,0.0113,42248,87023213.65,4877.46,340,205,42,0.0085
1011,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,3,FALSE,1,803,803,16203,16,998,729,52,0.011,106,71,44,0.0152,42248,61321588.10,3622.06,392,255,48,0.0091
1012,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,4,FALSE,1,800,800,16203,16,1071,826,62,0.0117,107,70,39,0.0106,42248,46039692.24,2853.46,473,297,55,0.0083
1013,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,5,FALSE,1,798,798,16203,16,851,659,62,0.0107,115,77,45,0.0111,42248,36063140.48,2334.54,370,247,50,0.0084
1014,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,6,FALSE,1,801,801,16203,16,820,641,59,0.0114,95,67,36,0.0149,42248,29121062.76,1960.99,374,234,48,0.0099
1015,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,7,FALSE,1,801,801,16203,16,958,702,66,0.013,101,69,43,0.0117,42248,24062543.01,1679.68,407,243,49,0.0081
1016,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,8,FALSE,1,806,806,16203,16,974,739,58,0.0117,104,66,35,0.0122,42248,20245586.38,1460.63,404,252,50,0.0114
1017,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,9,FALSE,1,797,797,16203,16,900,683,59,0.0129,103,74,37,0.0137,42248,17285383.42,1285.59,355,238,48,0.0088
1018,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,10,FALSE,1,799,799,16203,16,921,707,63,0.0115,106,67,43,0.0142,42248,14938113.69,1142.78,420,239,51,0.0105
1019,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,11,FALSE,1,810,810,16203,16,1039,796,63,0.0115,98,61,37,0.0119,42248,13042340.13,1024.27,399,217,49,0.0098
101,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,3,FALSE,1,790,790,16206,16,1569,1033,72,0.0115,121,79,47,0.0156,42248,97448678.44,5508.95,427,268,48,0.0078
1020,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,12,FALSE,1,775,775,16203,16,1022,800,62,0.0119,112,72,39,0.011,42248,11487287.77,924.52,414,248,54,0.012
1021,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,13,FALSE,1,798,798,16203,16,848,670,60,0.0134,80,65,34,0.0147,42248,10194662.87,839.53,340,203,49,0.0092
1022,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,14,FALSE,1,791,791,16203,16,894,721,61,0.0112,118,91,38,0.015,42248,9107730.51,766.37,382,233,49,0.0097
1023,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,1,FALSE,1,787,787,16203,17,897,662,58,0.013,116,97,38,0.0228,42248,135889585.96,7332.48,354,240,59,0.0138
1024,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,2,FALSE,1,793,793,16203,16,898,659,56,0.0127,142,105,45,0.0245,42248,82485571.87,4719.06,386,281,52,0.0138
