id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval,total_cpdb_pval,marbach_total_enriched,unique_marbach_terms,num_marbach_enriched_modules,mean_marbach_pval,total_marbach_pval
1000,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,6,FALSE,1,724,724,14795,16,1506,976,61,0.0136,4199.59952386412,78,64,34,0.0196,165.564145748018,55119,22531835.24,19603.49,563,395,45,0.0131,1492.28250681159,47,44,23,0.0271,78.7034573996573
1001,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,7,FALSE,1,713,713,14795,16,1736,995,51,0.0133,4948.61850376827,72,59,27,0.0225,147.569432584732,55119,17734481.93,15464.24,641,472,53,0.0123,1703.38599360616,101,88,30,0.0272,176.732379632449
1002,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,8,FALSE,1,705,705,14795,17,1767,1050,52,0.013,5098.84804091847,98,77,28,0.0208,203.060691242831,55119,14062316.71,12284.37,628,494,56,0.0156,1637.73313219849,69,67,24,0.0284,115.868915813748
1003,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,9,FALSE,1,714,714,14795,16,1639,1032,60,0.0137,4714.85614620835,58,42,32,0.0196,124.914057177972,55119,11224673.38,9818.03,519,365,56,0.0118,1497.96897793829,47,45,21,0.0272,88.7256493791842
1004,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,10,FALSE,1,717,717,14795,16,1727,1027,66,0.0148,4867.59361497253,65,46,36,0.0175,137.711278086845,55119,9015135.37,7890.47,572,387,57,0.013,1585.7891654818,79,68,26,0.0298,151.053224539086
1005,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,11,FALSE,1,716,716,14795,17,1978,1174,62,0.0134,5530.44951569232,70,57,33,0.0137,163.379723825996,55119,7283043.68,6374.04,619,493,55,0.0138,1634.01062923897,91,78,23,0.0284,151.798307706788
1006,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,12,FALSE,1,712,712,14795,16,1357,809,53,0.0145,3904.28499339872,53,44,31,0.0181,111.509856312965,55119,5916726.59,5173.89,484,374,51,0.0167,1310.1365045364,81,71,23,0.0298,130.175809072035
1007,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,13,FALSE,1,723,723,14795,16,1647,1005,59,0.0132,4601.03077521886,56,51,25,0.0152,128.553798496049,55119,4832556.10,4218.80,526,430,55,0.0138,1530.9425806985,47,42,21,0.0261,83.2050294630234
1008,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,14,FALSE,1,725,725,14795,16,1333,790,55,0.0132,3864.62132496685,70,61,26,0.0215,137.176482258109,55119,3967402.50,3454.78,613,414,52,0.0156,1430.41954375324,158,138,21,0.0297,281.00147727319
1009,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,1,FALSE,1,717,717,14795,16,1316,877,54,0.0113,4648.19027198158,76,59,27,0.0175,191.018608467646,55119,111669743.91,94483.71,504,341,35,0.0114,1912.14416019651,153,130,30,0.0224,321.149391235316
100,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,2,FALSE,1,721,721,14795,17,1527,889,51,0.0149,4462.13835919235,67,55,28,0.0107,176.240236978536,55119,109243285.08,98749.87,409,275,41,0.0123,1482.6406034985,194,155,28,0.0267,353.320884615367
1010,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,2,FALSE,1,721,721,14795,16,1114,710,51,0.0104,4243.86335471136,89,69,24,0.0151,229.069449728006,55119,68883578.05,67378.88,583,455,38,0.0101,2129.97007359083,112,98,21,0.021,254.251034225646
1011,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,3,FALSE,1,708,708,14795,17,1168,780,51,0.0108,4363.28119314833,102,76,25,0.0184,244.024475295027,55119,47233481.99,53100.59,660,487,39,0.0122,2258.70873838272,93,80,25,0.0275,203.914810743557
1012,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,4,FALSE,1,728,728,14795,16,1238,820,51,0.0096,4690.77974434115,86,70,23,0.0156,224.714090073299,55119,34560494.48,43919.69,563,439,35,0.0112,2141.74153447506,60,53,22,0.0224,150.673911457494
1013,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,5,FALSE,1,728,728,14795,16,1414,911,55,0.0111,4811.17273050165,100,82,26,0.0164,248.082957694744,55119,26412920.77,37360.12,640,477,36,0.0112,2191.63177987118,54,50,22,0.019,154.567203893674
1014,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,6,FALSE,1,744,744,14795,16,1240,847,57,0.0107,4450.30869517037,101,75,28,0.0159,252.682436783515,55119,20829168.34,32380.42,564,383,42,0.0098,2144.54507741817,100,87,22,0.0245,216.845922344493
1015,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,7,FALSE,1,714,714,14795,16,1181,776,54,0.0119,3949.14837257587,73,57,30,0.0219,170.259932390203,55119,16822485.91,28451.03,553,381,40,0.0121,1807.99861797987,128,112,19,0.0288,254.436826312316
1016,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,8,FALSE,1,734,734,14795,16,1245,817,60,0.011,4243.15950150679,101,79,34,0.0182,241.02519555759,55119,13845989.75,25265.82,531,400,40,0.0105,1808.70024365914,82,76,22,0.0307,187.208514034767
1017,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,9,FALSE,1,716,716,14795,16,1264,845,52,0.0112,4340.77978792105,84,68,31,0.0154,211.622385746407,55119,11573764.53,22631.54,507,377,47,0.0116,1654.03186635281,78,67,24,0.0289,182.308257762229
1018,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,10,FALSE,1,752,752,14795,15,1202,808,49,0.0102,4231.80094277504,85,64,31,0.0165,213.978277235381,55119,9800457.31,20418.41,554,434,46,0.0147,1753.83935398291,98,86,18,0.0289,213.156343321691
1019,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,11,FALSE,1,738,738,14795,16,1127,766,47,0.0094,4192.82019273543,74,55,25,0.0202,177.629592624384,55119,8390885.78,18535.21,496,376,45,0.0109,1642.63609064078,109,87,16,0.0281,230.60720658562
101,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,3,FALSE,1,713,713,14795,17,1490,873,59,0.0127,4579.58878741077,87,69,35,0.0141,216.816738278527,55119,83352976.95,77908.86,392,272,38,0.0118,1460.28174422047,117,85,30,0.026,234.612914684275
1020,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,12,FALSE,1,723,723,14795,16,1214,775,46,0.0096,4317.03660490044,75,58,25,0.018,182.561184459726,55119,7252863.62,16915.56,561,410,48,0.0112,1732.81338695282,76,67,26,0.0255,176.658357973452
1021,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,13,FALSE,1,740,740,14795,16,1207,774,52,0.0111,4124.09688386525,96,69,27,0.0185,234.721376330379,55119,6321670.12,15509.86,526,376,46,0.0118,1602.50545767384,112,91,35,0.028,230.109162500359
1022,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,14,FALSE,1,715,715,14795,16,1300,854,51,0.0107,4587.0825086423,74,58,27,0.0209,180.600140148597,55119,5550742.75,14280.17,464,344,43,0.0132,1555.10525186924,91,74,27,0.0268,200.591108038084
1023,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,1,FALSE,1,722,722,14795,16,1212,781,50,0.0125,3641.79534539598,60,46,24,0.0125,159.498749878858,55119,111425904.89,93514.74,434,297,40,0.0103,1421.48176522415,91,65,28,0.0235,177.2074393029
1024,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,2,FALSE,1,729,729,14795,16,1196,750,43,0.0115,3796.87376898043,68,52,27,0.0134,186.199285341978,55119,67788659.37,65329.52,442,298,40,0.0116,1476.1877861875,163,127,25,0.0278,293.413227739161
1025,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,3,FALSE,1,709,709,14795,16,1388,923,43,0.0119,4320.51182092672,60,47,28,0.0113,173.609884702807,55119,45712209.83,50504.42,473,317,45,0.0102,1563.41835646942,106,68,26,0.0206,213.797851838858
1026,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,4,FALSE,1,708,708,14795,16,1341,870,49,0.0126,4066.25732567415,63,48,26,0.0124,181.972804090834,55119,32899208.19,41082.62,529,379,42,0.0131,1680.66653606017,96,58,29,0.0248,181.940725478427
