id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval,total_leishcyc_pval
1000,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,6,FALSE,1,454,454,9122,16,897,375,38,0.0078,4306.88007593397,36,26,30,0.0111,148.650458111386,57258,14,14,8,0.0161,41.6131847520235
1001,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,7,FALSE,1,462,462,9122,15.5,863,375,35,0.0073,4349.43024621218,37,24,28,0.0126,153.642847228757,57258,16,16,10,0.0143,48.3209792398417
1002,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,8,FALSE,1,451,451,9122,17,845,388,41,0.0068,4279.89076685937,28,20,25,0.0113,131.333654888954,57258,11,11,7,0.0125,27.2270434003483
1003,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,9,FALSE,1,454,454,9122,16,911,395,44,0.0069,4765.87105520354,31,17,30,0.0101,148.862427071777,57258,9,8,6,0.0087,24.4957487843532
1004,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,10,FALSE,1,436,436,9122,17,788,356,41,0.0062,4196.66052605258,30,19,25,0.0087,139.661520872848,57258,13,12,8,0.0115,43.1403786746128
1005,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,11,FALSE,1,429,429,9122,16,868,377,38,0.007,4189.41698947298,38,26,28,0.0137,146.86588221156,57258,18,15,10,0.0138,51.5808733513101
1006,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,12,FALSE,1,430,430,9122,16,725,369,36,0.0071,3857.30163920617,26,18,24,0.0115,128.342033468477,57258,9,9,6,0.0119,34.5901140528973
1007,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,13,FALSE,1,401,401,9122,16,813,354,36,0.0049,4577.57335962508,31,21,26,0.0111,153.188276989296,57258,13,13,7,0.0202,39.3966729767507
1008,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,14,FALSE,1,362,362,9122,15,892,378,38,0.0065,4876.84141984429,31,18,25,0.0133,146.808448354618,57258,11,10,6,0.0103,37.2405463053788
1009,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,1,FALSE,1,446,446,9122,16,693,339,32,0.0072,3309.32710903274,24,14,20,0.0129,100.13500818645,57258,6,6,5,0.0191,21.0671597505335
100,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,2,FALSE,1,454,454,9122,16,904,391,31,0.0077,4695.62483751365,25,17,24,0.0093,130.300098412219,57258,14,13,8,0.0176,38.7593455935296
1010,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,2,FALSE,1,447,447,9122,17,629,327,31,0.0065,3162.76684653183,32,23,23,0.0177,113.667345493196,57258,4,4,3,0.0097,18.2195196948329
1011,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,3,FALSE,1,465,465,9122,15,667,318,32,0.0084,3226.98069606607,22,13,19,0.0132,98.9207290138296,57258,2,2,1,0,14.4050792906523
1012,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,4,FALSE,1,450,450,9122,17,665,304,27,0.0065,3091.5299615369,24,15,20,0.0082,103.141095824538,57258,3,3,2,0.0108,15.8930622643401
1013,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,5,FALSE,1,430,430,9122,17,675,293,27,0.0087,2957.05596540157,31,20,21,0.017,105.480610931852,57258,3,3,2,0.0161,15.7214664900939
1014,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,6,FALSE,1,441,441,9122,17,724,314,35,0.0087,3126.7014275871,27,15,23,0.0117,102.228101603387,57258,2,2,1,0,12.5609943192905
1015,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,7,FALSE,1,432,432,9122,17,604,244,31,0.0065,2864.81860990858,32,23,23,0.0132,113.211346491363,57258,3,3,2,0.013,13.9685722829672
1016,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,8,FALSE,1,453,453,9122,16,677,278,35,0.0069,3233.37689825883,35,24,28,0.0159,115.932386432866,57258,5,5,3,0.0136,19.4294750212449
1017,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,9,FALSE,1,441,441,9122,17,790,318,32,0.0109,3298.66255126773,26,16,22,0.0084,105.228197460604,57258,2,2,1,0,12.5609943192905
1018,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,10,FALSE,1,455,455,9122,16,685,283,33,0.0078,3200.34292215956,25,16,22,0.0102,103.242189212817,57258,2,2,1,0,12.5609943192905
1019,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,11,FALSE,1,445,445,9122,16,661,266,28,0.0065,3380.19855982482,23,15,20,0.014,92.4117398510095,57258,0,0,0,NaN,0
101,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,3,FALSE,1,465,465,9122,16,802,314,32,0.0058,4408.58931202263,21,12,20,0.0053,113.668490869944,57258,11,11,5,0.0213,31.1900078022988
1020,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,12,FALSE,1,421,421,9122,17,755,317,33,0.0068,3507.96634755041,31,18,25,0.0163,107.998703963293,57258,0,0,0,NaN,0
1021,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,13,FALSE,1,428,428,9122,16,793,355,35,0.0084,3374.15586068787,26,16,24,0.0152,92.8289241735798,57258,2,2,2,0.0263,3.21090858857917
1022,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,14,FALSE,1,425,425,9122,16,771,307,35,0.0071,3451.28276104356,29,18,24,0.0142,103.753694002239,57258,4,4,3,0.0111,17.9253912350306
1023,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,1,FALSE,1,423,423,9122,17,687,327,31,0.0086,3008.53624358671,25,16,21,0.0128,92.8881146423067,57258,9,7,6,0.01,31.7410485226456
1024,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,2,FALSE,1,426,426,9122,17,584,225,24,0.0056,3165.39542731173,24,18,18,0.0129,101.912263705545,57258,9,7,6,0.008,30.3126658151996
1025,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,3,FALSE,1,424,424,9122,17,566,249,28,0.006,3020.72047516382,26,18,21,0.0162,97.3860341834686,57258,6,6,3,0.0057,24.2356533151534
1026,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,4,FALSE,1,434,434,9122,17,555,274,30,0.0072,2779.29080571744,32,23,19,0.0119,117.301360479275,57258,7,7,4,0.0065,25.9629690459101
1027,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,5,FALSE,1,436,436,9122,16,609,241,32,0.0061,3293.89384298362,37,24,23,0.0123,134.674741274508,57258,6,6,4,0.0023,25.0819548024519
1028,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,6,FALSE,1,441,441,9122,16,640,235,32,0.0074,3131.0585267501,36,21,23,0.0121,126.214696227925,57258,9,8,6,0.0158,28.4554532833085
1029,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,7,FALSE,1,428,428,9122,16,667,265,31,0.0067,3267.087957308,38,23,25,0.0131,128.866331329029,57258,5,5,3,0.0024,22.8835243523881
102,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,4,FALSE,1,469,469,9122,16,862,329,34,0.0055,4557.73127793465,23,14,22,0.009,121.466353337893,57258,13,13,7,0.0227,32.5456938757799
1030,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,8,FALSE,1,434,434,9122,16,750,286,35,0.0081,3525.72298357976,25,15,24,0.011,105.066044585204,57258,5,5,3,0.0067,20.3880402608972
1031,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,9,FALSE,1,439,439,9122,16,608,238,28,0.0056,3211.5807712503,32,23,23,0.0146,120.652580778206,57258,5,5,4,0.0045,21.4378289095297
1032,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,10,FALSE,1,427,427,9122,17,772,282,39,0.0075,3289.36265191872,30,17,25,0.0114,111.897225128324,57258,6,6,4,0.0113,21.7730556363256
1033,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,11,FALSE,1,431,431,9122,17,735,286,37,0.0067,3382.87609146972,35,22,27,0.0121,127.149766218636,57258,9,8,6,0.0076,31.0090161090322
1034,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,12,FALSE,1,429,429,9122,16,679,281,35,0.0062,3324.04126150605,26,17,21,0.0101,108.399928256073,57258,9,8,6,0.0083,29.3411537070453
1035,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,13,FALSE,1,415,415,9122,17,662,311,31,0.0073,3301.03798955256,26,16,21,0.0106,110.480127657475,57258,9,9,6,0.0098,30.1330553358422
