id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval,total_cpdb_pval,marbach_total_enriched,unique_marbach_terms,num_marbach_enriched_modules,mean_marbach_pval,total_marbach_pval
100,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,2,FALSE,1,597,597,12537,17,1652,1123,95,0.0162,4495.73467457396,145,99,36,0.0188,331.414120049925,545480,43301986.52,29209.14,608,517,48,0.0181,1461.69299056877,86,83,13,0.0275,139.856900603416
101,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,3,FALSE,1,612,612,12537,16,1609,1065,95,0.015,4630.78600238449,113,81,42,0.0164,274.173729534309,545480,26710702.64,18149.84,551,465,49,0.0167,1333.49308057714,43,40,17,0.0271,71.695896943278
102,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,4,FALSE,1,608,608,12537,16,1778,1079,90,0.0143,4738.21683709089,98,68,41,0.0145,244.991916475712,545480,17638805.99,11873.28,500,406,48,0.0106,1459.63341762986,31,29,14,0.0219,56.1475251214318
103,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,5,FALSE,1,616,616,12537,17,1625,994,99,0.0135,4405.63974327797,129,90,41,0.0199,293.038282266648,545480,12177059.31,8045.10,496,374,51,0.0152,1250.76912291336,35,34,14,0.0325,53.5581154203645
104,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,6,FALSE,1,606,606,12537,16,1700,1089,97,0.015,4434.11542698617,136,104,37,0.0232,295.295836520167,545480,8657799.85,5587.98,627,481,51,0.0174,1423.03102616064,28,27,12,0.0385,41.6891782391988
105,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,7,FALSE,1,604,604,12537,16,1602,1056,90,0.0144,4385.69023686709,118,82,38,0.0182,277.812964683399,545480,6286468.40,3954.48,577,488,50,0.0185,1362.42605766851,58,48,17,0.0292,94.3974697962533
106,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,8,FALSE,1,622,622,12537,16.5,1684,1161,91,0.0137,4738.91686603589,119,86,37,0.0195,276.197303473445,545480,4640781.99,2841.32,528,404,50,0.0167,1465.79693843839,110,100,16,0.0266,182.825929610013
107,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,9,FALSE,1,585,585,12537,17,1622,980,96,0.0154,4334.28832893969,104,82,31,0.0186,243.263857118662,545480,3474857.49,2068.62,596,478,46,0.0163,1384.12303763899,84,78,22,0.0258,144.333887310005
108,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,10,FALSE,1,595,595,12537,17,1726,1095,87,0.0132,5033.29471529984,111,77,34,0.0167,275.605667817775,545480,2635659.74,1524.21,576,449,45,0.0161,1470.93287302017,71,67,19,0.0225,124.730912991942
109,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,11,FALSE,1,612,612,12537,16,1394,974,86,0.0131,3448.71768446015,117,96,31,0.0161,263.818529286869,545480,2023567.42,1135.72,523,431,49,0.0202,1121.58883066571,40,40,15,0.0338,60.9441092264426
