id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval,total_cpdb_pval,marbach_total_enriched,unique_marbach_terms,num_marbach_enriched_modules,mean_marbach_pval,total_marbach_pval
1000,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,6,FALSE,1,493,493,29219,30,2912,1688,22,0.0092,11457.8611445614,65,50,24,0.016,167.772293620578,55119,75982368.16,29626.54,660,472,24,0.011,2224.78553176892,280,203,10,0.0117,934.226946390312
1001,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,7,FALSE,1,484,484,29219,31,2708,1458,23,0.0091,10750.514712412,52,40,18,0.0163,138.707856243793,55119,58637676.43,22708.05,906,613,30,0.013,2546.9944652517,351,269,13,0.0183,774.721821347089
1002,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,8,FALSE,1,457,457,29219,32,3249,1980,23,0.0085,14272.1738837098,78,67,23,0.0159,194.694336765205,55119,45639875.08,17573.40,734,540,24,0.0129,2321.3869474831,422,249,16,0.0113,1425.21852792648
1003,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,9,FALSE,1,477,477,29219,30,3066,1788,29,0.0092,12530.9253685522,61,46,18,0.0139,174.53105420198,55119,35795221.02,13713.99,720,478,28,0.0105,2428.95248452739,346,273,12,0.011,1353.21706567157
1004,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,10,FALSE,1,483,483,29219,30,2822,1758,24,0.009,11754.3921828509,61,52,21,0.0149,181.989683697742,55119,28275627.63,10783.50,713,509,22,0.0109,2276.58123822006,290,213,12,0.0154,712.820366271423
1005,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,11,FALSE,1,441,441,29219,32,2441,1600,28,0.0104,9364.85860807173,73,59,16,0.0161,185.991934440264,55119,22489291.00,8538.71,578,453,22,0.0125,1777.11652176013,370,296,10,0.0132,1318.23682922215
1006,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,12,FALSE,1,450,450,29219,31,2412,1460,31,0.0109,9404.20356232525,65,49,19,0.02,153.166159269614,55119,18006023.89,6805.42,648,501,26,0.0143,2194.27998169056,326,285,13,0.0209,1040.13556156477
1007,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,13,FALSE,1,481,481,29219,31,2769,1631,32,0.0101,10405.2638624226,81,59,23,0.013,218.897500628659,55119,14509602.60,5457.19,877,658,32,0.0138,2701.2716202533,282,231,22,0.0175,734.978382272527
1008,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,14,FALSE,1,508,508,29219,31,2842,1617,37,0.0098,11456.2492108434,87,71,25,0.0159,238.474648911317,55119,11765583.71,4401.21,848,614,35,0.0116,2998.41313751255,329,219,21,0.017,815.214965407583
1009,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,1,FALSE,1,477,477,29109,38,2160,1764,37,0.009,9330.54822443229,86,74,26,0.0174,253.971508234579,55119,430715399.31,175014.22,648,511,31,0.0081,2903.56192784543,535,244,37,0.0189,1269.51361012177
100,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,2,FALSE,1,520,520,29219,30,3061,2294,19,0.0089,13000.1058427591,111,95,17,0.015,371.933867487675,55119,398080050.80,188533.56,854,798,23,0.0121,3175.91881217689,354,257,9,0.0168,948.794474130552
1010,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,2,FALSE,1,471,471,29109,38,2189,1898,32,0.009,9773.73719353078,70,64,16,0.0123,241.348712019703,55119,242729525.37,115552.53,757,584,31,0.0111,3076.58530037784,399,237,32,0.019,937.673856764496
1011,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,3,FALSE,1,488,488,29109,35,2060,1766,32,0.0092,9274.02474175969,78,67,28,0.0127,252.324110313806,55119,147685538.48,84194.59,796,603,27,0.0091,3191.23541457517,452,279,31,0.02,1061.90079454992
1012,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,4,FALSE,1,457,457,29109,38,1926,1676,37,0.0083,8841.2230159832,61,56,19,0.0138,217.44146061713,55119,95558878.95,65152.89,733,610,32,0.0111,2917.67653742407,368,194,33,0.0176,851.318031603477
1013,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,5,FALSE,1,463,463,29109,37,2251,1823,38,0.0101,9574.26358153396,65,55,25,0.0119,227.7711737119,55119,65064450.99,52500.78,836,634,28,0.0127,3211.77387925136,564,240,32,0.0183,1252.08821381106
1014,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,6,FALSE,1,457,457,29109,39,1998,1626,40,0.0098,8624.91701310804,58,50,20,0.0127,193.135507718695,55119,46240363.93,43552.26,591,487,25,0.0089,2569.99719001473,588,270,35,0.0183,1312.1451710347
1015,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,7,FALSE,1,465,465,29109,41,2096,1632,43,0.0102,8573.75767308683,70,59,25,0.0151,222.91467477507,55119,34075571.00,36925.75,688,525,31,0.0099,2853.80994775523,543,280,39,0.0199,1265.82998113787
1016,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,8,FALSE,1,494,494,29109,37,2038,1549,45,0.0098,8554.40459217756,72,59,22,0.0162,228.199508415515,55119,25896827.26,31843.10,786,537,33,0.0116,3017.91357009729,434,221,36,0.0187,1019.98601826103
1017,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,9,FALSE,1,484,484,29109,38,2088,1668,36,0.0097,8780.03541117579,65,58,19,0.0123,215.844500869087,55119,20205142.23,27834.98,659,533,32,0.0088,2802.83969546529,554,265,38,0.0196,1196.9950462401
1018,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,10,FALSE,1,483,483,29109,37,2064,1598,37,0.0095,8862.99387889512,78,67,25,0.0179,230.950589863694,55119,16122826.74,24602.62,700,548,29,0.0122,2859.95693938377,437,203,32,0.0187,1020.91621525672
