id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval,total_leishcyc_pval
1000,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,6,FALSE,1,170,170,9285,34,848,436,32,0.0077,4035.85652173462,34,23,23,0.0131,137.309068858638,57258,14,14,6,0.0132,35.130908711067
1001,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,7,FALSE,1,175,175,9285,39,781,410,30,0.0085,3478.49407283655,28,21,15,0.0119,114.989202524095,57258,15,15,8,0.0143,43.137102156042
1002,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,8,FALSE,1,196,196,9285,34,726,362,26,0.0074,3521.37212121268,29,22,18,0.0119,116.083920057417,57258,3,3,2,0,20.0277007918616
1003,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,9,FALSE,1,204,204,9285,31,621,383,26,0.0081,2879.40211960925,34,27,20,0.0144,111.909932641916,57258,9,9,6,0.0124,30.9744187848163
1004,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,10,FALSE,1,196,196,9285,31,558,384,26,0.0106,2570.09670816927,31,26,19,0.0106,116.32544665046,57258,7,7,5,0.009,27.6542458765462
1005,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,11,FALSE,1,240,240,9285,28.5,798,458,29,0.0084,3834.6260146987,31,23,22,0.0151,126.136519702265,57258,14,14,9,0.0197,42.7988244253649
1006,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,12,FALSE,1,278,278,9285,22,804,441,29,0.007,3605.79394023966,27,24,19,0.0124,111.070536729065,57258,12,12,8,0.0193,35.913878427538
1007,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,13,FALSE,1,276,276,9285,20,828,440,26,0.0075,3533.91615673731,28,25,19,0.0122,116.985212264208,57258,8,8,5,0.0188,31.2781676263268
1008,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,14,FALSE,1,276,276,9285,17,663,356,27,0.0076,3479.6376621531,36,25,22,0.0126,147.395108369521,57258,14,14,9,0.0125,43.1192342862633
1009,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,1,FALSE,1,148,148,9285,41,391,240,16,0.0086,2052.81978451292,29,20,12,0.0183,85.2274164622691,57258,7,7,4,0.0171,15.3233297141171
