id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval,total_leishcyc_pval
1000,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,6,FALSE,1,189,189,8890,35,236,99,11,0.0079,1626.3446702219,17,13,11,0.0134,65.7737809840633,2856,9,9,5,0.0196,17.0578747222444
1001,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,7,FALSE,1,185,185,8890,34,232,93,9,0.0079,1233.39742895822,22,17,14,0.0142,68.0845570338968,2856,11,11,6,0.0135,23.0481030890282
1002,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,8,FALSE,1,196,196,8890,33,287,111,11,0.0064,1467.70714987323,19,14,10,0.0202,56.1565316126104,2856,10,10,5,0.0081,23.3832431228558
1003,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,9,FALSE,1,190,190,8890,32,273,152,15,0.0084,1453.14000674878,16,13,9,0.0132,52.6114712763834,2856,9,9,4,0.0076,20.9242912497362
1004,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,10,FALSE,1,196,196,8890,32,282,144,13,0.0093,1428.89744933472,27,20,13,0.0131,75.8479068634909,2856,10,10,4,0.0072,23.7155578968713
1005,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,11,FALSE,1,206,206,8890,33,221,93,11,0.0043,1354.26643192492,18,15,10,0.0146,56.1928372833341,2856,10,10,5,0.0094,23.6381312284963
1006,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,12,FALSE,1,209,209,8890,31,306,134,10,0.0074,1799.66634029878,16,12,11,0.0159,63.2086458754763,2856,15,15,7,0.0125,32.9100004305973
1007,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,13,FALSE,1,223,223,8890,28,257,116,10,0.0075,1643.04034313383,21,17,12,0.0137,72.9908602590709,2856,12,12,7,0.014,25.790224973983
1008,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,14,FALSE,1,262,262,8890,24.5,284,150,14,0.0098,1588.98135555533,23,19,9,0.014,74.3330196565422,2856,11,11,6,0.0147,24.2756640094187
1009,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,1,FALSE,1,189,189,8890,33,196,150,7,0.0046,1148.99695750225,18,16,10,0.0199,47.9967523777681,2856,5,5,2,0.0202,8.72435067969261
100,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,2,FALSE,1,192,192,8890,29,110,109,6,0.0082,615.049976723159,7,6,5,0.013,21.7928015807836,2856,10,10,5,0.0277,16.8281114814114
1010,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,2,FALSE,1,180,180,8890,37.5,229,166,10,0.0125,1127.83270762623,22,19,9,0.0224,55.8310196704492,2856,9,9,4,0.0238,15.4612532769513
1011,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,3,FALSE,1,176,176,8890,37,113,68,5,0.0051,901.401351556478,24,18,12,0.0188,59.4371588058024,2856,7,7,5,0.0303,11.7934662352606
1012,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,4,FALSE,1,186,186,8890,35,240,150,9,0.0152,1125.14129846859,11,10,6,0.0082,39.5418722125909,2856,7,7,4,0.0265,11.8354104111377
1013,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,5,FALSE,1,181,181,8890,39,209,148,6,0.0136,1076.86234554566,13,11,6,0.0088,46.0382063143368,2856,4,4,2,0.0231,7.06398540958799
1014,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,6,FALSE,1,169,169,8890,36,198,150,7,0.0059,1119.75832950783,16,15,12,0.0171,48.9339725973881,2856,6,6,3,0.0174,10.7315147350296
1015,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,7,FALSE,1,181,181,8890,35,266,182,6,0.0158,1168.79683717762,20,15,11,0.0228,50.3299078928454,2856,4,4,2,0.0203,7.37429681672389
1016,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,8,FALSE,1,181,181,8890,33,222,157,8,0.0145,1096.56700194275,19,18,10,0.024,48.9388140633982,2856,5,5,3,0.0244,9.04316082005668
1017,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,9,FALSE,1,181,181,8890,33,215,152,5,0.0154,1091.6835679118,13,11,10,0.024,39.2187184821728,2856,5,5,2,0.0195,13.7725811009652
1018,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,10,FALSE,1,186,186,8890,32,458,208,12,0.01,2216.53532693777,17,13,13,0.0218,64.8567786208599,2856,6,6,4,0.0222,11.0953944085222
1019,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,11,FALSE,1,183,183,8890,32,266,160,7,0.0133,1459.70734353011,24,19,13,0.0176,69.4568821506263,2856,5,5,3,0.0224,9.02064530167117
101,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,3,FALSE,1,193,193,8890,32,131,131,7,0.0219,594.827109993917,10,9,8,0.0173,27.7265542503051,2856,10,10,6,0.0061,23.9177681551457
1020,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,12,FALSE,1,182,182,8890,36.5,360,160,10,0.0095,1989.59099997579,14,9,10,0.0189,55.7260867871604,2856,4,4,1,0.0274,6.58826825103224
1021,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,13,FALSE,1,202,202,8890,32.5,390,209,14,0.0108,2003.46659710723,19,13,12,0.0125,69.1070299737128,2856,5,5,2,0.0282,8.08656811382267
1022,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,14,FALSE,1,237,237,8890,29,383,184,13,0.0111,2023.9532047068,23,18,13,0.0165,72.2694968650646,2856,5,5,3,0.014,10.9772828214145
1023,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,1,FALSE,1,214,214,8890,31.5,193,106,8,0.0055,1336.52889544483,26,17,13,0.0165,72.0477924327289,2856,4,4,2,0.0152,7.62843158788879
1024,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,2,FALSE,1,190,190,8890,36.5,216,126,9,0.0082,1356.33716216022,17,14,10,0.0149,57.0487893186971,2856,6,6,3,0.0221,10.2398895957693
1025,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,3,FALSE,1,192,192,8890,35,255,138,13,0.0158,1436.60863937999,18,15,14,0.0167,60.6155457396989,2856,4,4,2,0.027,6.34169109138043
1026,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,4,FALSE,1,184,184,8890,33,146,100,9,0.0128,949.036048384765,17,15,11,0.0178,46.9373613937764,2856,7,7,4,0.016,12.9388205498162
1027,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,5,FALSE,1,193,193,8890,33,225,109,11,0.0077,1449.31626188193,19,16,12,0.0151,64.2720368908532,2856,4,4,2,0.0149,7.47003658000472
1028,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,6,FALSE,1,191,191,8890,34,290,146,9,0.009,1730.60267182089,17,14,13,0.0117,65.2778916449836,2856,10,10,4,0.0123,19.6758042954381
1029,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,7,FALSE,1,192,192,8890,33.5,158,112,8,0.0079,972.532351796595,20,19,12,0.0174,55.6783737618973,2856,8,8,5,0.0313,12.6738883126369
102,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,4,FALSE,1,175,175,8890,36,212,210,9,0.0141,778.44498411337,15,13,5,0.0196,35.2762388071874,2856,8,8,6,0.0241,13.193353870367
1030,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,8,FALSE,1,190,190,8890,32.5,188,131,8,0.0117,1027.92897386929,18,15,8,0.022,48.9011979291317,2856,5,5,3,0.0246,8.29500066872692
1031,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,9,FALSE,1,208,208,8890,31.5,297,155,10,0.0141,1728.17455588123,24,16,13,0.0102,78.0793886942048,2856,8,8,3,0.0206,13.8914054079548
1032,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,10,FALSE,1,205,205,8890,34,304,157,8,0.0109,1633.38860486879,16,13,11,0.0162,56.3005936125469,2856,6,6,4,0.03,9.48114272302122
1033,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,11,FALSE,1,201,201,8890,34,328,149,8,0.0109,1827.18922289054,13,8,13,0.016,59.4795073537796,2856,5,5,3,0.0295,7.88605941269824
1034,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,12,FALSE,1,212,212,8890,31,271,129,10,0.012,1690.59719432226,16,11,11,0.0114,59.4742183645503,2856,7,7,5,0.0235,13.922963185488
1035,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,13,FALSE,1,218,218,8890,30,246,151,8,0.0127,1366.2494653901,15,13,10,0.0134,53.2005465717412,2856,4,4,3,0.0223,6.70858120739725
1036,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,14,FALSE,1,238,238,8890,26,234,133,8,0.0124,1399.98849831994,9,7,9,0.0138,41.1712431806541,2856,5,5,2,0.0273,7.96759288911809
1037,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,1,FALSE,1,200,200,8890,33.5,249,197,8,0.0118,1192.16768932302,13,11,8,0.0249,39.5941579002081,2856,8,8,5,0.0246,13.5904467008103
1038,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,2,FALSE,1,203,203,8890,34,273,182,10,0.0106,1495.97548001026,24,19,11,0.0208,73.1213611716831,2856,2,2,2,0.0377,2.8488105255469
1039,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,3,FALSE,1,191,191,8890,34,374,224,10,0.0102,1806.25216117049,14,11,10,0.0101,53.8948959716224,2856,9,9,6,0.0253,15.2882974224972
103,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,5,FALSE,1,171,171,8890,34,146,145,8,0.0184,626.073682542927,13,13,8,0.0234,30.8374718713553,2856,3,3,2,0.018,6.28966564185269
