id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval,total_leishcyc_pval
1000,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,6,FALSE,1,159,159,3183,16,115,47,7,0.01,380.669351911109,5,4,5,0.019,11.6897985739274,2798,0,0,0,NaN,0
1001,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,7,FALSE,1,147,147,3183,17,121,50,5,0.0051,439.414391073386,5,4,5,0.0168,11.8230821863811,2798,0,0,0,NaN,0
1002,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,8,FALSE,1,143,143,3183,17,143,51,9,0.0137,364.274200377758,6,6,6,0.0303,12.3257828326321,2798,0,0,0,NaN,0
1003,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,9,FALSE,1,140,140,3183,17,110,51,6,0.0152,350.203079809167,3,2,3,0.0026,9.50278339908501,2798,0,0,0,NaN,0
1004,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,10,FALSE,1,144,144,3183,16,156,61,7,0.0106,538.683465171656,10,8,8,0.0226,22.3947282284449,2798,5,5,1,0.04,6.98711131432779
1005,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,11,FALSE,1,149,149,3183,16,169,84,11,0.0125,535.431718289615,7,6,7,0.0154,17.4381434731009,2798,0,0,0,NaN,0
1006,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,12,FALSE,1,150,150,3183,17,126,52,9,0.0133,305.224834014997,8,7,6,0.0304,13.816939476825,2798,3,3,2,0.0301,4.56856456280879
1007,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,13,FALSE,1,151,151,3183,16,115,50,9,0.0149,275.83444416124,9,8,7,0.034,14.9566905274064,2798,2,2,2,0.034,2.93779729158661
1008,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,14,FALSE,1,152,152,3183,16,114,53,6,0.0097,327.811772304755,3,3,3,0.0311,5.63310241249796,2798,6,6,2,0.039,8.45590487475046
1009,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,1,FALSE,1,160,160,3183,16,128,50,5,0.0024,737.060287471401,6,4,6,0.0164,17.5874817964859,2798,0,0,0,NaN,0
