id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval,total_cpdb_pval
1000,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,6,FALSE,1,776,776,16207,17,1103,712,81,0.0113,3550.74767713885,70,49,39,0.0158,198.629573876562,42250,30249994.33,1549.93,362,221,50,0.0109,1530.06728782293
1001,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,7,FALSE,1,770,770,16207,17,1349,865,82,0.0123,4465.80826966089,97,60,47,0.0177,259.965851812182,42250,24429963.76,1240.67,391,228,50,0.0101,1638.98977322238
1002,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,8,FALSE,1,791,791,16207,16,1583,1009,78,0.0131,4867.81214500204,96,68,43,0.0166,270.277624593834,42250,19887988.24,1001.31,474,289,56,0.0135,1813.87226761959
1003,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,9,FALSE,1,795,795,16207,16,1379,912,74,0.0124,4452.55041463872,85,59,40,0.012,255.713928846355,42250,16307513.60,814.00,439,286,52,0.0115,1733.1853181371
1004,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,10,FALSE,1,822,822,16207,16,1079,665,76,0.0134,3306.8445458661,104,75,44,0.0157,262.820390401709,42250,13461542.18,666.13,464,305,48,0.0111,1667.64713377217
1005,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,11,FALSE,1,814,814,16207,16,1091,708,74,0.0125,3459.46742271365,83,57,39,0.0138,232.576567386862,42250,11182594.69,548.46,426,257,60,0.0153,1499.75557522765
1006,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,12,FALSE,1,788,788,16207,17,1312,831,70,0.0134,3927.87532684902,101,62,43,0.0157,259.57575639735,42250,9345106.06,454.17,440,241,51,0.0113,1596.40767663343
1007,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,13,FALSE,1,803,803,16207,16,1299,865,77,0.0129,4110.33775298063,114,84,38,0.013,301.891466566377,42250,7853910.43,378.11,422,269,55,0.0124,1686.02949399393
1008,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,14,FALSE,1,805,805,16207,16,1183,782,84,0.0105,3918.59239606434,114,87,40,0.0219,252.408180820469,42250,6636259.42,316.38,355,202,41,0.0084,1475.86452042864
1009,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,1,FALSE,1,799,799,16204,16,984,718,66,0.0128,2893.39535607884,95,67,47,0.0131,275.391352809696,42250,137103524.97,7290.56,372,222,48,0.009,1510.52914155644
100,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,2,FALSE,1,763,763,16207,16,1570,1037,80,0.0128,4762.63691792565,106,61,43,0.0137,271.321424987666,42250,128511501.41,7197.63,428,267,53,0.0117,1481.44613134996
1010,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,2,FALSE,1,808,808,16204,16,864,637,55,0.0115,2685.26195764374,73,57,40,0.0113,215.248015481202,42250,87032451.60,4877.46,340,205,42,0.0085,1432.06095347063
1011,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,3,FALSE,1,802,802,16204,16,996,730,53,0.0112,2988.36809804238,107,71,45,0.0153,287.215254797809,42250,61327517.77,3622.06,394,255,49,0.0093,1489.80350272769
1012,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,4,FALSE,1,804,804,16204,16,1084,839,63,0.0121,3186.5252558043,108,70,40,0.0107,287.791775435068,42250,46043744.62,2853.46,475,299,56,0.0084,1763.62610937102
1013,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,5,FALSE,1,799,799,16204,16,896,701,65,0.0114,2826.98649371479,112,75,43,0.0108,299.148470434115,42250,36066022.84,2334.54,362,240,48,0.0075,1514.29749746191
1014,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,6,FALSE,1,811,811,16204,16,828,643,60,0.0111,2611.0729542732,98,68,35,0.014,259.571014729862,42250,29123169.83,1960.99,396,244,48,0.0094,1578.66061355908
1015,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,7,FALSE,1,797,797,16204,16,945,685,63,0.0131,2785.55925132269,115,74,44,0.0138,311.151127450642,42250,24064114.62,1679.68,448,262,55,0.009,1669.65940345332
1016,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,8,FALSE,1,809,809,16204,16,973,738,57,0.0117,3039.38718494797,105,67,36,0.0124,314.997509699121,42250,20246777.12,1460.63,403,255,50,0.0114,1500.17383740523
1017,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,9,FALSE,1,797,797,16204,16,900,683,59,0.0129,2795.73301516866,103,74,37,0.0137,290.054682222784,42250,17286297.18,1285.59,355,238,48,0.0088,1345.36997412427
1018,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,10,FALSE,1,794,794,16204,16,889,689,64,0.0111,2874.39183062747,107,67,45,0.0144,262.938269454635,42250,14938822.46,1142.78,418,237,52,0.0106,1445.21626118685
1019,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,11,FALSE,1,807,807,16204,16,1023,782,63,0.0118,3342.32625722515,97,60,36,0.0118,263.092492618804,42250,13042895.03,1024.27,398,216,49,0.0098,1478.4671060783
101,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,3,FALSE,1,787,787,16207,16,1602,1053,70,0.0121,5350.42224006669,129,83,46,0.0149,330.704912805132,42250,97460440.01,5508.95,415,252,45,0.0077,1636.7102981277
1020,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,12,FALSE,1,778,778,16204,16,1015,793,61,0.0119,3104.01784987623,112,72,39,0.0107,320.885151058213,42250,11487725.75,924.52,414,248,54,0.0121,1464.45788734107
1021,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,13,FALSE,1,801,801,16204,16,820,644,60,0.0128,2480.10890459261,66,52,33,0.0123,194.808367014894,42250,10195011.12,839.53,318,184,49,0.009,1217.78901430665
1022,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,14,FALSE,1,791,791,16204,16,891,718,60,0.0112,2962.27741096956,118,91,38,0.015,301.851298908398,42250,9108009.26,766.37,382,233,49,0.0097,1383.67091836938
1023,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,1,FALSE,1,788,788,16204,16,928,700,63,0.0125,3037.35168055357,110,94,37,0.0235,219.065016001365,42250,135905877.25,7332.48,342,233,58,0.0142,1050.89360472827
