id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de
1000,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,6,FALSE,1,482,482,9828,16,385,263,32,0.0107,1168.68593143714,24,19,16,0.0199,54.6158345847019,120126
1001,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,7,FALSE,1,477,477,9828,17,390,211,28,0.0126,1004.30426212062,16,11,13,0.0123,38.8218220719357,120126
1002,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,8,FALSE,1,486,486,9828,15,344,219,27,0.0121,1028.546051683,14,11,10,0.013,33.6372608936358,120126
1003,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,9,FALSE,1,483,483,9828,16,371,250,27,0.0128,1034.32318564631,20,15,12,0.0135,52.9448998607513,120126
1004,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,10,FALSE,1,478,478,9828,16,288,198,27,0.0125,913.331204889051,21,15,11,0.0146,50.6869103429417,120126
1005,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,11,FALSE,1,487,487,9828,16,354,227,27,0.0144,922.179710939139,24,19,16,0.0215,46.2559614229738,120126
1006,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,12,FALSE,1,473,473,9828,17,368,213,32,0.0115,1130.35787204045,24,19,17,0.0211,50.6149315488891,120126
1007,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,13,FALSE,1,472,472,9828,16,224,156,23,0.0132,721.325948632992,15,12,13,0.0236,30.1490616151667,120126
1008,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,14,FALSE,1,479,479,9828,16,407,232,30,0.0146,1146.54972968605,22,17,13,0.0184,47.1802333255668,120126
1009,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,1,FALSE,1,473,473,9828,16,377,234,32,0.0113,1344.2012453587,17,13,12,0.0191,52.076389019463,120126
100,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,2,FALSE,1,481,481,9828,16,342,229,29,0.014,901.364796976901,13,12,8,0.027,25.3760546129312,120126
1010,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,2,FALSE,1,478,478,9828,16,391,247,30,0.0102,1407.56159442757,17,13,12,0.0215,52.1944426033786,120126
1011,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,3,FALSE,1,482,482,9828,17,348,233,31,0.013,1174.87073383305,18,14,15,0.0194,52.9879672882171,120126
1012,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,4,FALSE,1,469,469,9828,17,332,208,30,0.0116,1242.54745336039,18,14,14,0.0224,54.233511712819,120126
1013,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,5,FALSE,1,478,478,9828,16,359,224,31,0.0117,1302.80877020401,15,11,13,0.0234,44.262436958121,120126
1014,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,6,FALSE,1,486,486,9828,16,490,311,33,0.0128,1700.73802198787,16,11,12,0.0175,48.756064034613,120126
1015,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,7,FALSE,1,470,470,9828,16,458,313,33,0.0119,1498.4530873671,14,10,12,0.0189,41.1967921417036,120126
1016,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,8,FALSE,1,490,490,9828,16,437,291,31,0.0108,1463.53836750292,16,9,14,0.019,44.7062867214578,120126
1017,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,9,FALSE,1,469,469,9828,17,461,310,38,0.0122,1511.32281475819,23,18,15,0.0132,63.0176838445695,120126
1018,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,10,FALSE,1,488,488,9828,16,510,331,38,0.0133,1552.27069865603,28,19,16,0.0129,72.2696540963135,120126
1019,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,11,FALSE,1,476,476,9828,16,391,294,29,0.0116,1237.41351174048,20,16,14,0.0144,51.2905349087184,120126
101,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,3,FALSE,1,476,476,9828,16,371,247,31,0.0118,1021.48834662635,13,10,11,0.0239,22.5121014737326,120126
1020,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,12,FALSE,1,473,473,9828,16,491,335,30,0.0135,1414.44619497342,16,13,10,0.0108,42.8229074413703,120126
1021,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,13,FALSE,1,472,472,9828,16,469,310,33,0.0113,1522.52015882587,18,14,11,0.0128,48.9948514374264,120126
1022,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,14,FALSE,1,466,466,9828,16,482,349,34,0.0138,1449.78864691076,25,20,13,0.019,58.041491915021,120126
