id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,total_edge_weight,irefindex_edge_weight,cpdb_total_enriched,unique_cpdb_terms,num_cpdb_enriched_modules,mean_cpdb_pval,total_cpdb_pval,marbach_total_enriched,unique_marbach_terms,num_marbach_enriched_modules,mean_marbach_pval,total_marbach_pval
1000,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,6,FALSE,1,859,859,17309,16,1673,1144,52,0.0143,4789.77984309883,93,62,30,0.0149,219.101186268702,45887,27905196.93,16447.02,408,355,49,0.0161,1302.94127993892,213,190,22,0.0299,339.843567685851
1001,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,7,FALSE,1,851,851,17309,17,1543,998,50,0.012,5238.79460096228,80,60,28,0.0142,195.594338724502,45887,21636261.70,12566.29,349,300,39,0.0161,1212.25413443503,302,242,29,0.0264,504.870203111329
1002,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,8,FALSE,1,857,857,17309,16,1427,930,62,0.0103,4794.32255270927,86,65,33,0.0124,290.893419740995,45887,16912816.66,9683.89,373,331,35,0.0099,1454.45684623076,228,192,25,0.0255,391.07077825626
1003,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,9,FALSE,1,860,860,17309,16,1395,969,64,0.0097,5519.66913161389,86,60,29,0.014,278.597885726506,45887,13317598.21,7518.83,391,311,38,0.0094,1395.94856523406,210,180,23,0.0242,369.451204541966
1004,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,10,FALSE,1,866,866,17309,16,1665,1068,66,0.0118,5666.71034919692,67,55,24,0.0126,200.537418183781,45887,10558899.14,5877.98,331,252,43,0.0121,1154.71290837313,135,124,22,0.0268,221.407394846501
1005,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,11,FALSE,1,883,883,17309,16,1675,1065,63,0.013,5357.46558307065,94,67,34,0.0135,257.294548638183,45887,8426874.59,4624.72,339,235,37,0.0132,1118.79959226219,153,136,25,0.0316,241.180830889864
1006,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,12,FALSE,1,833,833,17309,16,1594,1058,55,0.0114,5573.33622184867,86,66,29,0.0121,243.853198617018,45887,6768125.70,3660.67,332,248,40,0.0107,1136.12532368712,94,91,23,0.0272,157.453221830612
1007,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,13,FALSE,1,847,847,17309,16,1585,1045,49,0.0107,5883.9198103476,78,62,35,0.0137,227.611410341238,45887,5469329.81,2914.15,296,229,46,0.0113,1045.59309223705,75,68,19,0.0259,128.493014407236
1008,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,14,FALSE,1,859,859,17309,16,1476,1052,59,0.0135,4696.86284588154,85,64,31,0.0129,247.760203203215,45887,4446091.74,2332.44,322,278,45,0.0093,1352.86249702647,121,117,31,0.0262,201.588559426887
1009,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,1,FALSE,1,847,847,17256,16,928,684,46,0.0148,2451.35124019352,82,51,27,0.0111,231.056967487537,45887,158720775.95,100974.60,369,245,32,0.0092,1386.22193626774,57,52,25,0.0309,90.5831658555813
100,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,2,FALSE,1,841,841,17309,17,1739,1112,68,0.0116,5797.79274040586,92,65,28,0.0107,317.698577362978,45887,111587114.67,76796.25,448,276,45,0.0089,1891.59020370609,161,150,29,0.0276,268.623925757825
1010,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,2,FALSE,1,822,822,17256,16,958,711,57,0.0171,2158.0296506833,77,51,25,0.0147,187.030948193925,45887,96636619.54,66282.78,383,220,35,0.0127,1097.06510453843,65,63,24,0.0328,100.304067396387
1011,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,3,FALSE,1,847,847,17256,16,1092,738,58,0.0136,2792.72823141718,84,55,33,0.013,232.976527394346,45887,64157400.18,47507.38,394,285,38,0.0083,1250.03435246052,49,47,22,0.0274,79.2854620813093
1012,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,4,FALSE,1,852,852,17256,16,785,615,52,0.0139,1941.87558081541,76,52,28,0.0133,230.973487733822,45887,45250255.66,35989.54,431,272,45,0.0132,1166.58156523436,94,87,21,0.0265,154.916330445221
1013,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,5,FALSE,1,859,859,17256,16,987,691,54,0.0171,2276.66676932382,67,45,24,0.0124,225.081314190227,45887,33367042.45,28318.96,344,200,32,0.0107,960.551449257931,48,46,26,0.0224,85.4838906973004
1014,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,6,FALSE,1,831,831,17256,16,1243,858,45,0.0139,3325.82371396444,90,59,26,0.0134,270.167352223064,45887,25456754.49,22908.93,477,325,36,0.0153,1440.95202265445,93,86,25,0.0352,140.753514814439
1015,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,7,FALSE,1,835,835,17256,16,1132,799,51,0.0142,2765.17346883946,86,60,27,0.0147,232.086327299326,45887,19951227.16,18928.71,528,382,36,0.0158,1331.51624221357,48,46,22,0.0286,77.7334804302132
1016,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,8,FALSE,1,856,856,17256,16,1219,843,47,0.0157,2936.52592242365,88,60,30,0.0152,211.036146904193,45887,15980813.56,15904.01,513,329,36,0.0157,1412.62571936949,37,36,14,0.0277,58.9050160437399
1017,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,9,FALSE,1,838,838,17256,16,1155,788,50,0.0179,2531.61599903814,89,62,30,0.0163,201.955941293324,45887,13033203.11,13545.67,459,290,36,0.0154,1232.89486781353,47,43,24,0.0287,75.9973414320889
1018,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,10,FALSE,1,826,826,17256,16,1011,841,56,0.0165,2316.66854580135,67,45,27,0.0114,160.579607725298,45887,10791426.57,11668.12,483,341,36,0.0184,1124.44866766794,126,110,23,0.035,191.846506029935
1019,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,11,FALSE,1,839,839,17256,16,1114,808,53,0.0142,2706.67311884486,78,46,28,0.0131,188.544479379305,45887,9051268.33,10147.22,392,252,42,0.015,980.665113920567,127,113,20,0.0345,193.347344400988
101,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,3,FALSE,1,830,830,17309,16,2462,1457,68,0.0111,7693.06507675415,130,88,40,0.012,391.893247175868,45887,78333814.01,55061.08,709,538,50,0.0122,2148.19696047278,362,332,24,0.014,827.515791095208
1020,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,12,FALSE,1,842,842,17256,16,1035,752,53,0.0158,2526.74174396305,78,52,29,0.0122,220.893313715134,45887,7676608.35,8897.08,514,356,37,0.0182,1285.83974860142,228,200,21,0.0245,389.288755165829
1021,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,13,FALSE,1,865,865,17256,16,1046,669,51,0.0171,2274.91188920887,72,51,27,0.0134,171.087130266666,45887,6574051.21,7856.57,477,302,34,0.0183,1149.97254345289,82,76,25,0.0343,124.091548817552
1022,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,14,FALSE,1,848,848,17256,16,1120,779,48,0.0166,2566.73073133682,78,61,28,0.0187,166.468404793699,45887,5677895.57,6981.10,347,270,32,0.0154,1021.35595837634,41,40,19,0.0288,65.9862739305658
1023,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,1,FALSE,1,851,851,17256,17,630,519,53,0.0171,1483.36395106296,109,70,34,0.0166,222.086648439853,45887,158160766.61,100268.31,502,370,41,0.0199,1278.39436177119,76,67,31,0.0314,120.632659075184
1024,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,2,FALSE,1,836,836,17256,17,840,699,53,0.0154,2034.84688053194,81,55,29,0.0156,186.264229171755,45887,95264285.44,64797.42,464,307,38,0.0152,1399.25990827822,47,47,20,0.0244,80.0157134807916
1025,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,3,FALSE,1,837,837,17256,17,924,788,40,0.0156,2221.8519678007,85,62,28,0.0196,185.717702048405,45887,62412426.19,45643.03,381,277,33,0.0107,1228.02736378028,103,89,30,0.0268,171.05105233468
1026,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,4,FALSE,1,872,872,17256,16,991,791,49,0.0155,2464.7169376451,76,54,26,0.0185,174.783780872085,45887,43408903.62,33989.59,322,222,30,0.0076,1185.02570110259,73,68,22,0.0297,118.161571896567
1027,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,5,FALSE,1,835,835,17256,16,1297,1046,48,0.0138,3241.03476796942,65,47,30,0.0145,161.8543735516,45887,31567099.63,26310.12,504,343,39,0.0126,1634.61866395421,141,128,23,0.0288,231.219643242374
1028,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,6,FALSE,1,842,842,17256,16,1026,816,45,0.0152,2492.15625710577,71,45,30,0.0168,158.46664586065,45887,23760137.20,20954.81,421,279,34,0.0101,1457.80878619953,158,154,15,0.0279,259.711313093013
1029,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,7,FALSE,1,862,862,17256,16,946,719,43,0.0149,2314.73783312525,75,44,30,0.0128,176.042886313018,45887,18381294.40,17059.89,454,306,35,0.0109,1591.4142538174,178,170,18,0.028,294.53568021558
102,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,4,FALSE,1,856,856,17309,16,2031,1158,66,0.0122,6377.97496739199,124,74,38,0.0145,348.576893101563,45887,57076802.82,40580.81,478,297,53,0.0095,1907.25796088648,200,174,19,0.0305,314.580125687484
1030,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,8,FALSE,1,805,805,17256,17,983,751,44,0.0157,2343.78450447918,78,50,32,0.0155,176.437500442787,45887,14541862.18,14133.60,467,313,40,0.0128,1456.65456376993,119,110,17,0.0288,194.158688481227
1031,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,9,FALSE,1,844,844,17256,16,848,641,49,0.0154,2044.19070195364,77,52,33,0.0205,148.665690228416,45887,11720437.18,11877.45,500,306,38,0.0123,1523.97538678187,56,54,24,0.0268,96.1432207611373
1032,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,10,FALSE,1,846,846,17256,16,772,608,51,0.0176,1678.55615879427,76,44,24,0.0159,170.088215092753,45887,9596052.48,10100.85,481,317,34,0.0096,1453.42233141076,30,30,20,0.0275,53.7742210144346
