id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de,leishcyc_total_enriched,unique_leishcyc_terms,num_leishcyc_enriched_modules,mean_leishcyc_pval,total_leishcyc_pval
1000,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,6,FALSE,1,315,315,6600,16,582,300,23,0.0089,2510.95674534296,22,14,16,0.014,66.853335622917,2856,3,3,3,0.0258,7.02683024888345
1001,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,7,FALSE,1,318,318,6600,16,549,193,23,0.0083,2174.75503217447,21,13,19,0.0084,58.1286553722413,2856,3,3,3,0.0047,8.3752370467764
1002,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,8,FALSE,1,333,333,6600,16,497,165,22,0.0082,2278.96915552376,30,19,21,0.0136,79.0302855455004,2856,5,5,4,0.0057,12.6919433756418
1003,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,9,FALSE,1,311,311,6600,17,475,187,18,0.0067,1971.61516081079,20,13,16,0.0113,58.3095650923593,2856,6,6,4,0.0182,13.0462573222421
1004,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,10,FALSE,1,335,335,6600,16,408,100,18,0.0051,2131.07678642655,22,14,18,0.009,72.7601186864728,2856,2,2,2,0.0096,5.9173757643574
1005,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,11,FALSE,1,333,333,6600,15,379,91,21,0.006,1918.96285780498,21,13,15,0.0094,66.2307956593205,2856,6,6,4,0.0309,11.1552313691556
1006,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,12,FALSE,1,322,322,6600,16,321,76,17,0.0035,1997.26053323006,22,16,16,0.0112,69.2236463228536,2856,5,5,3,0.0277,9.81923619729108
1007,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,13,FALSE,1,341,341,6600,16,390,111,15,0.008,1844.02169049151,25,18,20,0.0167,68.9345879764643,2856,1,1,1,1e-04,3.96260255017217
1008,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,14,FALSE,1,327,327,6600,16,352,102,12,0.0072,1813.26458767398,22,16,18,0.0143,64.1570854733887,2856,2,2,2,0.0238,5.72469774097269
1009,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,1,FALSE,1,326,326,6600,16,311,91,12,0.0068,1767.14299512837,13,9,11,0.0144,48.1861425867942,2856,1,1,1,0.0152,1.81842914302454
100,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,2,FALSE,1,323,323,6600,17,416,138,15,0.0079,2109.10928409999,14,7,12,0.0069,51.0237577228555,2856,6,6,4,0.0273,10.8314259011977
1010,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,2,FALSE,1,329,329,6600,16,294,70,10,0.0049,1744.01776594753,14,9,13,0.018,48.9070411510257,2856,0,0,0,NaN,0
1011,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,3,FALSE,1,299,299,6600,16,231,64,7,0.0043,1671.56456771018,12,9,10,0.0173,50.1395956385725,2856,2,2,2,0.0136,4.29013437454719
1012,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,4,FALSE,1,311,311,6600,17,287,78,10,0.0042,1822.9904859899,13,8,12,0.0119,51.9704219576017,2856,3,3,2,0.0027,7.80672921590232
1013,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,5,FALSE,1,310,310,6600,16,365,113,10,0.0073,2096.76907529995,16,10,14,0.0161,54.2395497522134,2856,1,1,1,0.0026,2.58386621587127
1014,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,6,FALSE,1,312,312,6600,17,321,66,9,0.0031,2162.99722218949,14,8,14,0.0085,54.2048094246834,2856,2,2,2,0.0188,4.12684137055881
1015,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,7,FALSE,1,315,315,6600,16,380,129,9,0.003,2166.38894726378,19,13,16,0.0144,60.8914096697657,2856,2,2,2,0.0095,4.43259369457093
1016,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,8,FALSE,1,308,308,6600,17,321,70,10,0.0034,2007.74742354813,13,7,13,0.0091,49.3484414953804,2856,1,1,1,0.0022,2.65592176628997
1017,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,9,FALSE,1,329,329,6600,16,277,66,11,0.0032,1935.34832586065,15,10,13,0.0115,55.8715987893233,2856,2,2,2,0.0122,4.22491026973609
1018,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,10,FALSE,1,328,328,6600,15,240,69,9,0.003,1710.98460585965,13,8,12,0.0141,46.6638367729875,2856,4,4,3,0.009,8.62497145769268
1019,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,11,FALSE,1,324,324,6600,16,302,67,10,0.0032,1992.43738781929,15,10,14,0.0115,53.0264538845101,2856,4,4,3,0.0154,8.28742957719904
101,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,3,FALSE,1,312,312,6600,17,270,121,14,0.0078,1306.95709811772,11,6,11,0.01,37.9030579995113,2856,4,4,3,0.0243,7.71705266726254
1020,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,12,FALSE,1,319,319,6600,16,326,155,11,0.0074,1810.97106519541,17,13,13,0.0136,57.2482997361861,2856,1,1,1,0.0017,2.78087196586783
1021,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,13,FALSE,1,317,317,6600,15,247,78,9,0.0055,1662.48509353228,9,5,9,0.0072,42.6641356950652,2856,0,0,0,NaN,0
1022,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,14,FALSE,1,322,322,6600,16,294,80,11,0.0035,2125.65284674905,11,6,10,0.007,56.0700341783223,2856,1,1,1,0.0027,2.56437503749296
1023,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,1,FALSE,1,321,321,6600,16,450,163,14,0.0057,1931.33018886947,19,12,16,0.0134,61.4555961324086,2856,1,1,1,0.0374,1.42656628947264
1024,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,2,FALSE,1,332,332,6600,15,486,223,14,0.0087,2003.8439310532,20,14,16,0.0182,56.89096039283,2856,0,0,0,NaN,0
1025,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,3,FALSE,1,327,327,6600,16,390,176,14,0.0097,2074.07632257546,14,10,13,0.0178,55.688095338623,2856,3,3,3,0.0445,4.06910506534258
1026,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,4,FALSE,1,326,326,6600,16,424,176,15,0.0098,2074.21631498007,11,6,11,0.0127,44.6507916485198,2856,2,2,2,0.0411,2.78826724908776
1027,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,5,FALSE,1,314,314,6600,17,274,70,9,0.0043,1735.47987590613,13,7,12,0.0131,47.9906057014438,2856,0,0,0,NaN,0
1028,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,6,FALSE,1,317,317,6600,16,288,72,13,0.0059,1683.72587701279,17,11,17,0.0187,53.4444412703854,2856,1,1,1,0.0334,1.47683727651467
1029,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,7,FALSE,1,325,325,6600,16,273,78,11,0.006,1352.52557015136,12,7,12,0.0165,35.9246799566586,2856,1,1,1,0.0333,1.47700166512241
102,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,4,FALSE,1,324,324,6600,17,399,120,17,0.0064,2257.22189334097,11,3,11,0.0036,57.4756685090804,2856,5,5,3,0.021,9.48265493081762
1030,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,8,FALSE,1,320,320,6600,17,416,165,17,0.0092,1937.95264414504,12,6,12,0.0132,47.7076624200329,2856,1,1,1,0.022,1.65767745011361
1031,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,9,FALSE,1,323,323,6600,16,322,134,14,0.0124,1395.80683728797,12,7,11,0.0157,35.6776101475296,2856,2,2,2,0.034,2.96419481554656
1032,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,10,FALSE,1,311,311,6600,16,272,72,11,0.0046,1632.39762415845,14,9,12,0.0115,46.5899100262041,2856,1,1,1,0.0257,1.58965697158988
1033,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,11,FALSE,1,330,330,6600,16,467,147,17,0.0092,2025.32400215181,19,10,17,0.0127,52.1577864951105,2856,0,0,0,NaN,0
1034,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,12,FALSE,1,347,347,6600,15,470,121,17,0.007,2017.16396808056,22,13,20,0.011,56.3815297289863,2856,1,1,1,0.0332,1.47838550971468
1035,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,13,FALSE,1,353,353,6600,15,516,201,19,0.0079,2219.55698575178,21,12,21,0.0149,64.5800783763641,2856,0,0,0,NaN,0
1036,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,14,FALSE,1,316,316,6600,16,397,77,16,0.0044,2074.91154730537,16,8,16,0.0083,56.5588830904951,2856,1,1,1,0.0405,1.3926369506566
1037,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,1,FALSE,1,318,318,6600,17,443,157,12,0.0068,2180.73281505492,22,15,17,0.0139,63.1561076475632,2856,0,0,0,NaN,0
1038,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,2,FALSE,1,313,313,6600,17,428,143,14,0.0066,2211.75558778896,16,9,14,0.0147,54.8296993554684,2856,0,0,0,NaN,0
1039,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,3,FALSE,1,323,323,6600,16,372,63,12,0.004,2131.2851871352,15,8,13,0.0103,52.6118237022765,2856,1,1,1,0.0334,1.47664110855196
103,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,5,FALSE,1,324,324,6600,16,290,89,12,0.0065,1741.92684180245,14,8,12,0.0099,52.7726372690352,2856,5,5,3,0.0373,7.16285071520106
1040,signed,1,TRUE,TRUE,FALSE,FALSE,none,spearman,4,FALSE,1,334,334,6600,16,358,69,13,0.0042,2034.96466161094,20,11,15,0.0172,61.4979709687479,2856,0,0,0,NaN,0
