id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de
100,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,2,FALSE,1,636,636,12599,16,4839,1745,167,0.0112,17767.5412254249,109,53,76,0.0108,416.443018476126,75422
101,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,3,FALSE,1,630,630,12599,16,4771,1661,167,0.0096,17999.5189884566,120,58,81,0.0087,454.929712444572,75422
102,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,4,FALSE,1,607,607,12599,16,4784,1748,165,0.01,17870.2564143541,131,59,77,0.0103,469.402360881926,75422
103,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,5,FALSE,1,610,610,12599,16,5064,1792,174,0.0103,18592.1041728787,137,57,86,0.0104,494.460723438633,75422
104,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,6,FALSE,1,614,614,12599,16,4806,1681,168,0.0098,18083.5744744724,116,60,65,0.0079,460.126364238413,75422
105,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,7,FALSE,1,615,615,12599,16,4716,1701,167,0.0103,17979.6894850534,122,62,77,0.0072,481.126658150646,75422
106,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,8,FALSE,1,605,605,12599,16,5009,1790,177,0.01,18475.7406272102,123,55,77,0.0087,460.755461425108,75422
107,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,9,FALSE,1,634,634,12599,16,4463,1633,180,0.0115,15808.2383483149,123,55,86,0.0081,436.355029227539,75422
108,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,10,FALSE,1,621,621,12599,16,4774,1674,178,0.0107,17242.3713450993,130,61,81,0.0091,472.761209380407,75422
109,signed,1,FALSE,FALSE,FALSE,TRUE,none,cor-dist,11,FALSE,1,619,619,12599,16,5047,1819,169,0.0093,20166.5956144024,122,56,84,0.0095,470.800366092508,75422
10,signed,1,FALSE,FALSE,FALSE,FALSE,none,cor,10,FALSE,1,601,601,12599,17,4676,1732,163,0.011,17303.9513888814,131,65,79,0.0122,453.35745094901,75422
