id,network_type,low_count_threshold,cpm_transform,log2_transform,voom_transform,quantile_normalize,batch_adjustment,similarity_measure,adj_power,topological_overlap,merge_cor,num_modules_before,num_modules,num_genes,med_module_size,go_total_enriched,unique_go_terms,num_go_enriched_modules,mean_go_pval,total_go_pval,kegg_total_enriched,unique_kegg_terms,num_kegg_enriched_modules,mean_kegg_pval,total_kegg_pval,total_de
1000,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,6,FALSE,1,298,298,5879,16,274,102,15,0.0104,1085.20243506849,16,10,14,0.0173,41.0591525318725,26444
1001,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,7,FALSE,1,296,296,5879,17,220,84,14,0.0102,766.893491363437,16,10,14,0.0155,36.7522764930264,26444
1002,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,8,FALSE,1,290,290,5879,17,220,83,11,0.0081,986.97792880543,18,9,11,0.0171,44.6806728520908,26444
1003,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,9,FALSE,1,268,268,5879,17,265,97,14,0.0101,922.853178272937,20,15,13,0.009,54.9898103548345,26444
1004,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,10,FALSE,1,280,280,5879,16,275,103,15,0.0126,995.736820255349,14,7,9,0.0052,40.9092342925224,26444
1005,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,11,FALSE,1,304,304,5879,16,232,87,14,0.0109,961.270917528436,24,16,13,0.0159,57.4985025799029,26444
1006,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,12,FALSE,1,295,295,5879,15,234,77,14,0.0111,1040.78965445876,19,15,13,0.0181,48.8045135072488,26444
1007,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,13,FALSE,1,303,303,5879,15,259,74,15,0.009,957.944787633294,22,14,14,0.015,53.1645638894308,26444
1008,signed,1,TRUE,FALSE,FALSE,TRUE,combat,cor-dist,14,FALSE,1,286,286,5879,16,257,86,14,0.0107,985.949152297196,21,14,16,0.0203,50.852080365878,26444
1009,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,1,FALSE,1,284,284,5879,16,255,139,15,0.01,1160.02258901027,20,15,15,0.0189,53.6670847540392,26444
100,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,2,FALSE,1,285,285,5879,16,82,61,10,0.0117,212.880108503987,11,9,8,0.0304,17.3905664131547,26444
1010,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,2,FALSE,1,270,270,5879,17,257,130,17,0.0101,1168.14774273746,21,16,15,0.018,57.6229142900653,26444
1011,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,3,FALSE,1,290,290,5879,16,272,95,15,0.0094,1264.51817309101,18,13,14,0.0102,52.0365346775074,26444
1012,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,4,FALSE,1,281,281,5879,17,282,97,15,0.0096,1286.19703328853,17,12,14,0.0129,48.5725026998276,26444
1013,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,5,FALSE,1,292,292,5879,16,265,99,14,0.007,1276.00330549286,21,15,12,0.0126,59.2176826397913,26444
1014,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,6,FALSE,1,281,281,5879,16,249,106,15,0.0119,1173.91466892891,15,11,11,0.0106,44.0186995883694,26444
1015,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,7,FALSE,1,274,274,5879,17,224,96,15,0.01,1116.4537846766,16,11,12,0.0124,45.7774952662551,26444
1016,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,8,FALSE,1,288,288,5879,16,296,144,17,0.0105,1211.86272428248,20,14,14,0.0203,47.3997328290956,26444
1017,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,9,FALSE,1,283,283,5879,16,269,158,20,0.0141,1082.21539328709,17,13,11,0.0118,46.0257138472034,26444
1018,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,10,FALSE,1,290,290,5879,16,332,157,17,0.0091,1463.6269001679,15,10,11,0.0119,44.0535728444402,26444
1019,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,11,FALSE,1,280,280,5879,17,346,155,16,0.0122,1410.92575864738,20,14,15,0.0183,49.7814894444595,26444
101,signed,1,FALSE,FALSE,FALSE,FALSE,limma,cor-dist,3,FALSE,1,283,283,5879,17,87,68,9,0.0163,193.513830144095,9,9,6,0.0307,14.28405537864,26444
1020,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,12,FALSE,1,283,283,5879,16,232,122,13,0.0123,958.763949075146,13,11,7,0.0098,36.81598398772,26444
1021,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,13,FALSE,1,297,297,5879,15,345,143,18,0.0081,1600.35772783808,16,11,11,0.0117,48.5346932795844,26444
1022,signed,1,TRUE,TRUE,FALSE,FALSE,none,cor,14,FALSE,1,289,289,5879,15,256,136,17,0.0105,925.813909287801,13,10,9,0.0145,33.3044509322704,26444
1023,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,1,FALSE,1,296,296,5879,16,257,113,12,0.0089,1226.22587981201,14,11,10,0.0124,50.724862692945,26444
1024,signed,1,TRUE,TRUE,FALSE,FALSE,none,bicor,2,FALSE,1,298,298,5879,16,270,128,14,0.0091,1217.01116893413,20,17,14,0.0191,56.6162669301142,26444
