HPGL_ID,Condition,Batch
HPGL0053,uninf20,D
HPGL0054,inf20,D
HPGL0055,uninf48,D
HPGL0056,inf48,D
HPGL0057,uninf72,D
HPGL0058,inf72,D
HPGL0059,inf20,D
HPGL0060,inf48,D
HPGL0061,inf72,D
HPGL0063,uninf04,A
HPGL0064,inf04,A
HPGL0065,uninf06,A
HPGL0066,inf06,A
HPGL0067,uninf12,A
HPGL0068,inf12,A
HPGL0069,uninf24,A
HPGL0070,inf24,A
HPGL0071,uninf48,A
HPGL0072,inf48,A
HPGL0112,inf04,C
HPGL0113,inf06,B
HPGL0114,inf06,C
HPGL0115,inf12,B
HPGL0116,inf24,B
HPGL0117,inf24,C
HPGL0255,uninf72,E
HPGL0256,inf72,E
HPGL0257,uninf48,C
HPGL0258,inf48,C
