sample_id,condition,batch,host,strain
HPGL0363,proc,A,None,L. major Friedlin
HPGL0364,meta,A,None,L. major Friedlin
HPGL0366,amast04,A,Human,L. major Friedlin
HPGL0368,amast24,A,Human,L. major Friedlin
HPGL0370,amast48,A,Human,L. major Friedlin
HPGL0372,amast72,A,Human,L. major Friedlin
HPGL0373,proc,B,None,L. major Friedlin
HPGL0374,meta,B,None,L. major Friedlin
HPGL0376,amast04,B,Human,L. major Friedlin
HPGL0378,amast24,B,Human,L. major Friedlin
HPGL0380,amast48,B,Human,L. major Friedlin
HPGL0382,amast72,B,Human,L. major Friedlin
HPGL0396,proc,C,None,L. major Friedlin
HPGL0397,meta,C,None,L. major Friedlin
HPGL0399,amast04,C,Human,L. major Friedlin
HPGL0401,amast24,C,Human,L. major Friedlin
HPGL0403,amast48,C,Human,L. major Friedlin
HPGL0405,amast72,C,Human,L. major Friedlin
HPGL0455,proc,E,None,L. major Friedlin
HPGL0456,meta,E,None,L. major Friedlin
HPGL0459,amast04,E,Human,L. major Friedlin
HPGL0463,amast24,E,Human,L. major Friedlin
HPGL0467,amast48,E,Human,L. major Friedlin
HPGL0493,proc,F,None,L. major Friedlin
HPGL0494,meta,F,None,L. major Friedlin
HPGL0497,amast04,F,Human,L. major Friedlin
HPGL0501,amast24,F,Human,L. major Friedlin
HPGL0505,amast48,F,Human,L. major Friedlin
HPGL0509,amast72,F,Human,L. major Friedlin
HPGL0096,proc,G,None,L. major Friedlin
HPGL0097,meta,G,None,L. major Friedlin
HPGL0098,meta,G,None,L. major Friedlin
HPGL0164,proc,H,None,L. major Friedlin
HPGL0165,meta,H,None,L. major Friedlin
HPGL0167,amast04,H,Mouse,L. major Friedlin
HPGL0169,amast24,H,Mouse,L. major Friedlin
HPGL0171,amast48,H,Mouse,L. major Friedlin
HPGL0173,amast72,H,Mouse,L. major Friedlin
HPGL0191,amast72,I,Mouse,L. major Friedlin
HPGL0192,proc,I,None,L. major Friedlin
HPGL0193,meta,I,None,L. major Friedlin
HPGL0228,proc,J,None,L. major Friedlin
HPGL0229,meta,J,None,L. major Friedlin
HPGL0230,meta,J,None,L. major Friedlin
HPGL0232,amast04,J,Mouse,L. major Friedlin
HPGL0234,amast24,J,Mouse,L. major Friedlin
HPGL0236,amast48,J,Mouse,L. major Friedlin
HPGL0238,amast72,J,Mouse,L. major Friedlin
HPGL0324,proc,K,None,L. major Friedlin
HPGL0325,meta,K,None,L. major Friedlin
HPGL0326,meta,K,None,L. major Friedlin
HPGL0329,meta,L,None,L. major Friedlin
HPGL0389,amast04,L,Mouse,L. major Friedlin
HPGL0391,amast24,L,Mouse,L. major Friedlin
HPGL0393,amast48,L,Mouse,L. major Friedlin
HPGL0395,amast72,L,Mouse,L. major Friedlin
6961,footpad_amast,M,Mouse,L. major Ryan
6962,sandfly_day2,M,Sandfly,L. major Ryan
6963,sandfly_day4,M,Sandfly,L. major Ryan
6964,sandfly_day15,M,Sandfly,L. major Ryan
6965,sacks_meta,M,None,L. major Ryan
6966,footpad_amast,N,Mouse,L. major Ryan
6967,sandfly_day2,N,Sandfly,L. major Ryan
6968,sandfly_day4,N,Sandfly,L. major Ryan
6969,sandfly_day15,N,Sandfly,L. major Ryan
6970,sacks_meta,N,None,L. major Ryan
6971,released_amast,O,Mouse,L. major Friedlin
6972,inf_neutrophils,O,Mouse,L. major Friedlin
6974,sacks_meta,O,None,L. major Friedlin
6976,released_amast,P,Mouse,L. major Friedlin
6977,inf_neutrophils,P,Mouse,L. major Friedlin
6979,sacks_meta,P,None,L. major Friedlin
6980,footpad_amast,P,Mouse,L. major Friedlin
